Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,372,Triple Riding,2026-06-12 21:36:02,528,"25,163",21:00-22:00,18.5204,73.8567,0.493,4
UNKNOWN,400,Triple Riding,2026-06-12 21:36:04,531,"129,160",21:00-22:00,18.5204,73.8567,0.5263,6
UNKNOWN,530,Triple Riding,2026-06-12 21:36:06,534,"423,155",21:00-22:00,18.5204,73.8567,0.5827,5
UNKNOWN,2,Triple Riding,2026-06-12 21:39:05,3,"267,207",21:00-22:00,18.5204,73.8567,0.6221,3
UNKNOWN,8,Triple Riding,2026-06-12 21:39:05,3,"332,308",21:00-22:00,18.5204,73.8567,0.5274,3
UNKNOWN,2,Signal Jumping,2026-06-12 21:39:06,3,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,4,Signal Jumping,2026-06-12 21:39:06,3,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,-1,No Helmet,2026-06-12 21:39:12,12,Junction A,21:00-22:00,18.5204,73.8567,0.4299,0
UNKNOWN,-1,No Helmet,2026-06-12 21:39:14,15,Junction A,21:00-22:00,18.5204,73.8567,0.4812,0
UNKNOWN,-1,No Helmet,2026-06-12 21:39:17,21,Junction A,21:00-22:00,18.5204,73.8567,0.4241,0
UNKNOWN,-1,No Helmet,2026-06-12 21:39:19,24,Junction A,21:00-22:00,18.5204,73.8567,0.2596,0
UNKNOWN,-1,No Helmet,2026-06-12 21:39:24,33,Junction A,21:00-22:00,18.5204,73.8567,0.2608,0
UNKNOWN,9,Signal Jumping,2026-06-12 21:39:24,33,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,25,Triple Riding,2026-06-12 21:39:32,48,"235,304",21:00-22:00,18.5204,73.8567,0.425,4
UNKNOWN,25,Signal Jumping,2026-06-12 21:39:47,75,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Signal Jumping,2026-06-12 21:39:50,81,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Triple Riding,2026-06-12 21:39:53,84,"130,260",21:00-22:00,18.5204,73.8567,0.5612,3
UNKNOWN,8,Signal Jumping,2026-06-12 21:40:03,99,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Triple Riding,2026-06-12 21:40:11,114,"77,242",21:00-22:00,18.5204,73.8567,0.4941,4
