epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.572,1.84851,3.12213,1.16181,0.0052,0.50328,0.0965,0.06029,1.73151,3.81595,1.10888,0.00053979,0.00053979,0.00053979
2,391.126,1.76752,1.96227,1.1123,1,0.07795,0.39725,0.21382,1.64981,3.37952,1.07949,0.000878557,0.000878557,0.000878557
3,616.537,1.76826,1.71842,1.10032,0.86678,0.42923,0.62516,0.35518,1.5144,2.42657,1.0648,0.000997279,0.000997279,0.000997279
4,833.345,1.7033,1.51986,1.08541,0.8683,0.6231,0.74438,0.37163,1.57791,1.89117,1.07356,0.000676802,0.000676802,0.000676802
5,1044.15,1.67679,1.39999,1.05973,0.80452,0.71361,0.79869,0.4298,1.51918,1.55338,1.06824,0.000346736,0.000346736,0.000346736
